subject,seed,op,radius,p_apply,clean_mean_dice,clean_mean_iou,corrupt_mean_dice,corrupt_mean_iou,delta_mean_dice,delta_mean_iou
sub-verse563,0,erode,1,0.25,0.905683293979615,0.8296235407744418,0.8918777906252903,0.8073987828777878,-0.013805503354324733,-0.022224757896654013
sub-verse563,0,erode,1,0.5,0.905683293979615,0.8296235407744418,0.8864628719119251,0.7985175074010388,-0.019220422067689924,-0.031106033373403008
sub-verse563,0,erode,1,0.75,0.905683293979615,0.8296235407744418,0.8708318776333199,0.774265067934902,-0.03485141634629507,-0.05535847283953976
sub-verse563,0,erode,2,0.25,0.905683293979615,0.8296235407744418,0.8598566009895162,0.7622591756556214,-0.04582669299009878,-0.06736436511882038
sub-verse563,0,erode,2,0.5,0.905683293979615,0.8296235407744418,0.8422533642509203,0.735548095356542,-0.06342992972869466,-0.0940754454178998
sub-verse563,0,erode,2,0.75,0.905683293979615,0.8296235407744418,0.7944978154203087,0.6671622566673052,-0.11118547855930627,-0.16246128410713656
sub-verse563,0,dilate,1,0.25,0.905683293979615,0.8296235407744418,0.8937923812277253,0.8105316841883188,-0.011890912751889693,-0.019091856586123
sub-verse563,0,dilate,1,0.5,0.905683293979615,0.8296235407744418,0.8894710671560818,0.8034091086047738,-0.016212226823533182,-0.02621443216966801
sub-verse563,0,dilate,1,0.75,0.905683293979615,0.8296235407744418,0.8789829641650257,0.7864416387769159,-0.026700329814589252,-0.04318190199752592
sub-verse563,0,dilate,2,0.25,0.905683293979615,0.8296235407744418,0.8719483320766449,0.7782056131099593,-0.033734961902970095,-0.0514179276644825
sub-verse563,0,dilate,2,0.5,0.905683293979615,0.8296235407744418,0.8594439924963162,0.758611500483517,-0.0462393014832988,-0.07101204029092478
sub-verse563,0,dilate,2,0.75,0.905683293979615,0.8296235407744418,0.8294281169352524,0.71278268339351,-0.07625517704436258,-0.11684085738093175
