run_id,model_type,delta_pose,freeze_ordering,train_pose_only,batch_size,lr,epochs,best_val_loss,ordering_acc,translation_error,rotation_error,bspline_loss,spline_lateral_loss,delta_pose_t_loss,delta_pose_rot_loss,root_anchor_t_loss,root_anchor_rot_loss,pretrain,eval_total_loss,eval_ordering_acc,eval_translation_mean,eval_rotation_mean,eval_bspline_fit,eval_bspline_smooth,eval_delta_t,eval_delta_r,eval_s_monotonic,eval_s_spearman
2026-01-12_12-49-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_12-55-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_12-57-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_12-59-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_13-25-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_13-27-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_13-29-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_13-31-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12_13-38-26,,,,,32,0.0001,128,0.9987,,,,,,,,,,,,,,,,,,,,
2026-01-12_16-19-27,,,,,32,0.0001,128,,,,,,,,,,,,,,,,,,,,,
2026-01-12_16-20-01,,,,,32,0.0001,256,0.9987,,,,,,,,,,,,,,,,,,,,
2026-01-12_16-34-14,spinal_field,True,,,32,0.0001,256,1.2032,,,,,,,,,,,,,,,,,,,,
2026-01-12_21-06-09,spinal_field,True,,,32,0.0001,256,,,,,,,,,,,,,,,,,,,,,
2026-01-12_21-07-15,spinal_field,True,,,32,0.0001,512,0.0335,,,,,,,,,,,,,,,,,,,,
2026-01-15_10-24-32,baseline,,,,32,0.0001,512,27668.5781,,,,,,,,,,,,,,,,,,,,
2026-01-15_11-08-03,baseline,,,,32,0.0001,512,18697.5234,,,,,,,,,,,,,,,,,,,,
2026-01-15_13-29-25,spinal_field,True,,,32,0.0001,512,27687.3633,,,,,,,,,,,,,,,,,,,,
2026-01-15_13-32-13,spinal_field,True,,,32,0.0001,512,,,,,,,,,,,,,,,,,,,,,
2026-01-15_13-32-44,spinal_field,True,,,32,0.0001,512,18721.0742,,,,,,,,,,,,,,,,,,,,
2026-01-15_16-46-33,spinal_field,True,,,8,1e-05,512,0.0335,,,,,,,,,,,,,,,,,,,,
