subject_id,raw_pred_len,kept_len,removed_spurious_count,removed_spurious_labels,repaired_pred_order,mean_dice,extra_vs_gt_labels,transition_violations_count,pred_order,gt_order
sub-gl108,11,7,4,1 2 3 4,5 6 7 8 9 10 11,0.9047177727127105,11,0,1 2 3 4 5 6 7 8 9 10 11,1 2 3 4 5 6 7 8 9 10
sub-gl146,13,10,3,4 3 1,5 6 7 2 8 9 10 11 12 13,0.8711432373113469,13,5,5 4 6 3 7 2 1 8 9 10 11 12 13,5 4 6 3 7 1 2 8 9 10 11 12
sub-gl195,13,6,7,1 3 2 10 11 12 13,4 5 6 7 8 9,0.9017398303381455,12 13,2,1 4 3 2 5 6 7 8 9 10 11 12 13,1 4 3 2 5 6 7 8 9 10 11
sub-gl216,12,4,8,2 3 4 5 9 10 11 12,1 6 7 8,0.8819419223060364,10 11 12,0,1 2 3 4 5 6 7 8 9 10 11 12,1 2 3 4 5 6 7 8 9
sub-gl217,12,10,2,4 3,12 11 10 9 8 7 6 5 2 1,0.8951769237587236,11 12,0,12 11 10 9 8 7 6 5 4 3 2 1,10 9 8 7 6 5 4 3 2 1
sub-gl279,19,18,1,7,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8,0.3940022675085963,7 8,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9
sub-gl348,11,8,3,1 2 3,4 5 6 7 8 9 10 11,0.9010551354375403,10 11,0,1 2 3 4 5 6 7 8 9 10 11,1 2 3 4 5 6 7 8 9
sub-gl419,13,8,5,1 2 11 12 13,3 4 5 6 7 8 9 10,0.8736979880036109,12 13,0,1 2 3 4 5 6 7 8 9 10 11 12 13,1 2 3 4 5 6 7 8 9 10 11
sub-gl428,15,5,10,4 6 5 3 1 7 12 13 14 15,2 8 9 10 11,0.8559944915729155,14 15,3,4 6 5 3 2 1 7 8 9 10 11 12 13 14 15,5 4 6 3 2 1 7 8 9 10 11 12 13
sub-gl492,13,7,6,1 2 3 4 5 6,7 8 9 10 11 13 12,0.8461990146349424,12 13,1,1 2 3 4 5 6 7 8 9 10 11 13 12,1 2 3 4 5 6 7 8 9 10 11
sub-verse502,19,19,0,,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7,0.9067688309419635,7 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7,24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
sub-verse509,21,12,9,24 16 15 14 13 12 11 10 5,25 23 22 21 20 19 18 17 9 8 7 6,0.7358925495797876,5 6,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7
sub-verse512,22,2,20,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 4,6 5,0.9280593724678877,4 5 6 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4,24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7
sub-verse517,19,10,9,25 18 17 16 15 14 13 10 7,24 23 22 21 20 19 12 11 9 8,0.7504136858477759,7 8,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9
sub-verse524,21,13,8,16 15 14 13 12 11 10 8,25 24 23 22 21 20 19 18 17 9 7 6 5,0.9097674133125921,5 24 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5,23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
sub-verse526,20,12,8,16 15 14 13 12 11 10 6,25 24 23 22 21 20 19 18 17 9 8 7,0.9233213473759974,6 7 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6,24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
sub-verse540,20,6,14,25 24 23 22 21 15 14 12 11 10 9 8 7 6,20 19 18 17 16 13,0.8174156219944894,6 7,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
sub-verse546,10,0,10,25 24 23 22 21 20 19 18 17 16,,0.9325981785344875,16 17 25,0,25 24 23 22 21 20 19 18 17 16,24 23 22 21 20 19 18
sub-verse550,9,6,3,25 24 17,23 22 21 20 19 18,0.9267362162200119,17 25,0,25 24 23 22 21 20 19 18 17,24 23 22 21 20 19 18
sub-verse551,18,11,7,25 20 19 14 13 12 8,24 23 22 21 18 17 16 15 11 10 9,0.7534886746839246,8,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9
sub-verse552,21,6,15,25 23 22 21 20 19 17 16 15 14 13 12 10 9 5,24 18 11 8 7 6,0.8397868263564723,5 6 7 24 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5,23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
sub-verse555,12,0,12,25 24 23 22 21 20 19 18 17 16 15 14,,0.9428052817330678,14 15 25,0,25 24 23 22 21 20 19 18 17 16 15 14,24 23 22 21 20 19 18 17 16
sub-verse558,21,21,0,,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5,0.9287464266855694,5 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5,24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
sub-verse560,20,5,15,25 24 23 22 21 20 19 18 17 16 10 9 8 7 6,15 14 13 12 11,0.7556318639260025,6 7,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
sub-verse563,25,21,4,25 16 15 11,24 23 22 21 20 19 18 17 14 13 12 10 9 8 7 6 5 4 3 2 1,0.905683293979615,24 25,0,25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1,23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
